recommendation	placement	known_policy	clicks	cost_rub	conversions	cpa_rub	conversion_rate_pct	impressions	ad_network_types	campaigns	reason	raw_examples
ok	dsp.yandex.ru		33.00	53.64	0.00	0.00	0.00	294.00	AD_NETWORK	Портфолио		dsp.yandex.ru
ok	dzen.ru		5.00	16.50	0.00	0.00	0.00	73.00	AD_NETWORK	Портфолио		dzen.ru
ok	dsp-opera-exchange.yandex.ru		5.00	8.56	0.00	0.00	0.00	169.00	AD_NETWORK	Портфолио		dsp-opera-exchange.yandex.ru
ok	game.yandex.ru		1.00	7.95	0.00	0.00	0.00	17.00	AD_NETWORK	Портфолио		game.yandex.ru
ok	com.fugo.wow		3.00	4.67	0.00	0.00	0.00	19.00	AD_NETWORK	Портфолио		com.fugo.wow
ok	video.yandex.ru		1.00	3.26	0.00	0.00	0.00	1.00	AD_NETWORK	Портфолио		video.yandex.ru
ok	dsp-webeye.yandex.ru		2.00	2.95	0.00	0.00	0.00	10.00	AD_NETWORK	Портфолио		dsp-webeye.yandex.ru
ok	dsp-mintagral.yandex.ru		2.00	2.27	0.00	0.00	0.00	20.00	AD_NETWORK	Портфолио		dsp-mintagral.yandex.ru
ok	com.openmygame.games.android.wordpizza		2.00	1.81	0.00	0.00	0.00	5.00	AD_NETWORK	Портфолио		com.openmygame.games.android.wordpizza
ok	com.vitastudio.mahjong		1.00	1.40	0.00	0.00	0.00	1.00	AD_NETWORK	Портфолио		com.vitastudio.mahjong
ok	dsp-xiaomi.yandex.ru		1.00	0.46	0.00	0.00	0.00	4.00	AD_NETWORK	Портфолио		dsp-xiaomi.yandex.ru
ok	aftershock.su		0.00	0.00	0.00	0.00	0.00	2.00	AD_NETWORK	Портфолио		aftershock.su
ok	com.oakever.tiletrip		0.00	0.00	0.00	0.00	0.00	5.00	AD_NETWORK	Портфолио		com.oakever.tiletrip
ok	com.vkontakte.android		0.00	0.00	0.00	0.00	0.00	1.00	AD_NETWORK	Портфолио		com.vkontakte.android
ok	com.wood.bolt.wordle.screw.nuts.puzzle		0.00	0.00	0.00	0.00	0.00	1.00	AD_NETWORK	Портфолио		com.wood.bolt.wordle.screw.nuts.puzzle
ok	cont.ws		0.00	0.00	0.00	0.00	0.00	2.00	AD_NETWORK	Портфолио		cont.ws
ok	d3.ru		0.00	0.00	0.00	0.00	0.00	2.00	AD_NETWORK	Портфолио		d3.ru
ok	dsp-betweenx.yandex.ru		0.00	0.00	0.00	0.00	0.00	1.00	AD_NETWORK	Портфолио		dsp-betweenx.yandex.ru
ok	dsp-ironsource.yandex.ru		0.00	0.00	0.00	0.00	0.00	36.00	AD_NETWORK	Портфолио		dsp-ironsource.yandex.ru
