recommendation	placement	known_policy	clicks	cost_rub	conversions	cpa_rub	conversion_rate_pct	impressions	ad_network_types	campaigns	reason	raw_examples
ok	dsp.yandex.ru		109.00	0.00	0.00	0.00	0.00	284.00	AD_NETWORK	Портфолио		dsp.yandex.ru
ok	com.fugo.wow		31.00	0.00	0.00	0.00	0.00	77.00	AD_NETWORK	Портфолио		com.fugo.wow
ok	dsp-webeye.yandex.ru		31.00	0.00	0.00	0.00	0.00	83.00	AD_NETWORK	Портфолио		dsp-webeye.yandex.ru
ok	video.like		20.00	0.00	0.00	0.00	0.00	113.00	AD_NETWORK	Портфолио		video.like
ok	com.oakever.tiletrip		11.00	0.00	0.00	0.00	0.00	29.00	AD_NETWORK	Портфолио		com.oakever.tiletrip
ok	dsp-yeahmobi.yandex.ru		8.00	0.00	0.00	0.00	0.00	17.00	AD_NETWORK	Портфолио		dsp-yeahmobi.yandex.ru
ok	com.vitastudio.mahjong		7.00	0.00	0.00	0.00	0.00	37.00	AD_NETWORK	Портфолио		com.vitastudio.mahjong
ok	com.openmygame.games.android.wordpizza		6.00	0.00	0.00	0.00	0.00	23.00	AD_NETWORK	Портфолио		com.openmygame.games.android.wordpizza
ok	dsp-mintagral.yandex.ru		6.00	0.00	0.00	0.00	0.00	31.00	AD_NETWORK	Портфолио		dsp-mintagral.yandex.ru
ok	dsp-opera-exchange.yandex.ru		6.00	0.00	0.00	0.00	0.00	52.00	AD_NETWORK	Портфолио		dsp-opera-exchange.yandex.ru
ok	teskin.jewels.planet		3.00	0.00	0.00	0.00	0.00	11.00	AD_NETWORK	Портфолио		teskin.jewels.planet
ok	com.openmygame.games.android.fillwordsoffline		2.00	0.00	0.00	0.00	0.00	15.00	AD_NETWORK	Портфолио		com.openmygame.games.android.fillwordsoffline
ok	dsp-unityads.yandex.ru		2.00	0.00	0.00	0.00	0.00	16.00	AD_NETWORK	Портфолио		dsp-unityads.yandex.ru
ok	com.actopolus.pixeldudesandbox		1.00	0.00	0.00	0.00	0.00	1.00	AD_NETWORK	Портфолио		com.actopolus.pixeldudesandbox
ok	com.blockpuzzle.us.ios		1.00	0.00	0.00	0.00	0.00	3.00	AD_NETWORK	Портфолио		com.blockpuzzle.us.ios
ok	com.fc.goods.sort.matching.puzzle.triplemaster		1.00	0.00	0.00	0.00	0.00	5.00	AD_NETWORK	Портфолио		com.fc.goods.sort.matching.puzzle.triplemaster
ok	com.inspiredsquare.jupiter		1.00	0.00	0.00	0.00	0.00	1.00	AD_NETWORK	Портфолио		com.inspiredsquare.jupiter
ok	com.openmygame.magicwordsearch		1.00	0.00	0.00	0.00	0.00	1.00	AD_NETWORK	Портфолио		com.openmygame.magicwordsearch
ok	com.orangeapps.piratetreasures		1.00	0.00	0.00	0.00	0.00	1.00	AD_NETWORK	Портфолио		com.orangeapps.piratetreasures
ok	com.pronetis.ironball2		1.00	0.00	0.00	0.00	0.00	1.00	AD_NETWORK	Портфолио		com.pronetis.ironball2
ok	vk.com		1.00	0.00	0.00	0.00	0.00	3.00	AD_NETWORK	Портфолио		vk.com
ok	championat.com		0.00	0.00	0.00	0.00	0.00	1.00	AD_NETWORK	Портфолио		championat.com
ok	com.bigcake.android.classicdominoes		0.00	0.00	0.00	0.00	0.00	1.00	AD_NETWORK	Портфолио		com.bigcake.android.classicdominoes
ok	com.block.juggle		0.00	0.00	0.00	0.00	0.00	3.00	AD_NETWORK	Портфолио		com.block.juggle
ok	com.cyber.durakace		0.00	0.00	0.00	0.00	0.00	2.00	AD_NETWORK	Портфолио		com.cyber.durakace
ok	com.gamovation.tileclub		0.00	0.00	0.00	0.00	0.00	5.00	AD_NETWORK	Портфолио		com.gamovation.tileclub
ok	com.gn.merge.puzzle.game		0.00	0.00	0.00	0.00	0.00	1.00	AD_NETWORK	Портфолио		com.gn.merge.puzzle.game
ok	com.openmygame.games.android.jigsaw.solitaire.puzzle		0.00	0.00	0.00	0.00	0.00	1.00	AD_NETWORK	Портфолио		com.openmygame.games.android.jigsaw.solitaire.puzzle
ok	com.openmygame.games.android.sudokumaster		0.00	0.00	0.00	0.00	0.00	21.00	AD_NETWORK	Портфолио		com.openmygame.games.android.sudokumaster
ok	com.orangeapps.piratetreasure		0.00	0.00	0.00	0.00	0.00	21.00	AD_NETWORK	Портфолио		com.orangeapps.piratetreasure
ok	com.pixel.art.coloring.color.number		0.00	0.00	0.00	0.00	0.00	8.00	AD_NETWORK	Портфолио		com.pixel.art.coloring.color.number
ok	com.s-g-i.edadeal		0.00	0.00	0.00	0.00	0.00	1.00	AD_NETWORK	Портфолио		com.s-g-i.Edadeal
ok	com.tile.match.blockpuzzle		0.00	0.00	0.00	0.00	0.00	1.00	AD_NETWORK	Портфолио		com.tile.match.blockpuzzle
ok	com.tripledot.woodoku		0.00	0.00	0.00	0.00	0.00	1.00	AD_NETWORK	Портфолио		com.tripledot.woodoku
ok	com.visionstudio.tilevacation		0.00	0.00	0.00	0.00	0.00	1.00	AD_NETWORK	Портфолио		com.visionstudio.tilevacation
ok	com.vk.vkclient		0.00	0.00	0.00	0.00	0.00	1.00	AD_NETWORK	Портфолио		com.vk.vkclient
ok	com.wood.bolt.wordle.screw.nuts.puzzle		0.00	0.00	0.00	0.00	0.00	4.00	AD_NETWORK	Портфолио		com.wood.bolt.wordle.screw.nuts.puzzle
ok	com.zm.watersort		0.00	0.00	0.00	0.00	0.00	1.00	AD_NETWORK	Портфолио		com.zm.watersort
ok	cont.ws		0.00	0.00	0.00	0.00	0.00	3.00	AD_NETWORK	Портфолио		cont.ws
ok	dsp-ironsource.yandex.ru		0.00	0.00	0.00	0.00	0.00	1.00	AD_NETWORK	Портфолио		dsp-ironsource.yandex.ru
ok	dsp-minimob-ww.yandex.ru		0.00	0.00	0.00	0.00	0.00	2.00	AD_NETWORK	Портфолио		dsp-minimob-ww.yandex.ru
ok	dzen.ru		0.00	0.00	0.00	0.00	0.00	12.00	AD_NETWORK	Портфолио		dzen.ru
ok	easy.sudoku.puzzle.solver.free		0.00	0.00	0.00	0.00	0.00	1.00	AD_NETWORK	Портфолио		easy.sudoku.puzzle.solver.free
ok	game.yandex.ru		0.00	0.00	0.00	0.00	0.00	37.00	AD_NETWORK	Портфолио		game.yandex.ru
ok	gazeta.ru		0.00	0.00	0.00	0.00	0.00	1.00	AD_NETWORK	Портфолио		gazeta.ru
ok	gismeteo.ru		0.00	0.00	0.00	0.00	0.00	1.00	AD_NETWORK	Портфолио		gismeteo.ru
ok	images.yandex.ru		0.00	0.00	0.00	0.00	0.00	5.00	AD_NETWORK	Портфолио		images.yandex.ru
ok	interfax.ru		0.00	0.00	0.00	0.00	0.00	1.00	AD_NETWORK	Портфолио		interfax.ru
ok	iz.ru		0.00	0.00	0.00	0.00	0.00	1.00	AD_NETWORK	Портфолио		iz.ru
ok	jigsaw.puzzle.game.banana		0.00	0.00	0.00	0.00	0.00	1.00	AD_NETWORK	Портфолио		jigsaw.puzzle.game.banana
ok	kidultlovin.word.zen		0.00	0.00	0.00	0.00	0.00	12.00	AD_NETWORK	Портфолио		kidultlovin.word.zen
ok	lenta.ru		0.00	0.00	0.00	0.00	0.00	5.00	AD_NETWORK	Портфолио		lenta.ru
ok	m.lenta.ru		0.00	0.00	0.00	0.00	0.00	1.00	AD_NETWORK	Портфолио		m.lenta.ru
ok	mail.ru		0.00	0.00	0.00	0.00	0.00	2.00	AD_NETWORK	Портфолио		mail.ru
ok	mail.yandex.ru		0.00	0.00	0.00	0.00	0.00	1.00	AD_NETWORK	Портфолио		mail.yandex.ru
ok	mangalib.me		0.00	0.00	0.00	0.00	0.00	2.00	AD_NETWORK	Портфолио		mangalib.me
ok	mosfilmgold.kinopoisk.ru		0.00	0.00	0.00	0.00	0.00	1.00	AD_NETWORK	Портфолио		mosfilmgold.kinopoisk.ru
ok	naked-science.ru		0.00	0.00	0.00	0.00	0.00	1.00	AD_NETWORK	Портфолио		naked-science.ru
ok	ngs.ru		0.00	0.00	0.00	0.00	0.00	4.00	AD_NETWORK	Портфолио		ngs.ru
ok	org.aastudio.games.longnards		0.00	0.00	0.00	0.00	0.00	1.00	AD_NETWORK	Портфолио		org.aastudio.games.longnards
ok	pikabu.ru	monitor_first	0.00	0.00	0.00	0.00	0.00	2.00	AD_NETWORK	Портфолио	Развлекательный трафик	pikabu.ru
ok	pogoda.yandex.ru		0.00	0.00	0.00	0.00	0.00	1.00	AD_NETWORK	Портфолио		pogoda.yandex.ru
ok	puzzle.blockpuzzle.cube.relax		0.00	0.00	0.00	0.00	0.00	10.00	AD_NETWORK	Портфолио		puzzle.blockpuzzle.cube.relax
ok	radbrothers.com		0.00	0.00	0.00	0.00	0.00	1.00	AD_NETWORK	Портфолио		radbrothers.com
ok	razlozhi.ru		0.00	0.00	0.00	0.00	0.00	1.00	AD_NETWORK	Портфолио		razlozhi.ru
ok	rbc.ru		0.00	0.00	0.00	0.00	0.00	3.00	AD_NETWORK	Портфолио		rbc.ru
ok	rian.ru		0.00	0.00	0.00	0.00	0.00	3.00	AD_NETWORK	Портфолио		rian.ru
ok	ru.litres.android.readfree		0.00	0.00	0.00	0.00	0.00	1.00	AD_NETWORK	Портфолио		ru.litres.android.readfree
ok	rusroman.kinopoisk.ru		0.00	0.00	0.00	0.00	0.00	1.00	AD_NETWORK	Портфолио		rusroman.kinopoisk.ru
ok	smotrim.ru		0.00	0.00	0.00	0.00	0.00	2.00	AD_NETWORK	Портфолио		smotrim.ru
ok	sorting.games.goods.sort.triple.match3d.puzzle.stuff		0.00	0.00	0.00	0.00	0.00	2.00	AD_NETWORK	Портфолио		sorting.games.goods.sort.triple.match3d.puzzle.stuff
